year,exporter_code,importer_code,product_code,import_value_kusd,quantity_tons,product_description,product_group,exporter_name,exporter_iso3,importer_name,importer_iso3
2014,344,156,848610,762.594,7.544,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,"China, Hong Kong SAR",HKG,China,CHN
2014,348,156,848610,75.53,0.65,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Hungary,HUN,China,CHN
2014,376,156,848610,995.011,8.547,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Israel,ISR,China,CHN
2014,392,156,848610,223569.32,2113.824,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Japan,JPN,China,CHN
2014,410,156,848610,45709.562,304.184,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Rep. of Korea,KOR,China,CHN
2014,458,156,848610,2704.475,23.13,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Malaysia,MYS,China,CHN
2014,490,156,848610,21613.552,217.07,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,"Other Asia, nes",S19,China,CHN
2014,528,156,848610,2272.941,18.499,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Netherlands,NLD,China,CHN
2014,616,156,848610,3822.864,32.912,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Poland,POL,China,CHN
2014,643,156,848610,17011.262,146.454,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Russian Federation,RUS,China,CHN
2014,702,156,848610,72253.179,580.916,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Singapore,SGP,China,CHN
2014,705,156,848610,50.0,0.43,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Slovenia,SVN,China,CHN
2014,752,156,848610,0.731,0.002,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Sweden,SWE,China,CHN
2014,757,156,848610,67608.244,499.584,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Switzerland,CHE,China,CHN
2014,764,156,848610,0.027,,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Thailand,THA,China,CHN
2014,804,156,848610,440.855,3.806,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Ukraine,UKR,China,CHN
2014,826,156,848610,1357.562,12.848,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,United Kingdom,GBR,China,CHN
2014,842,156,848610,27770.444,201.907,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,USA,USA,China,CHN
2015,40,156,848610,2592.013,16.98,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Austria,AUT,China,CHN
2015,124,156,848610,4.135,0.026,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Canada,CAN,China,CHN
2015,208,156,848610,81.678,1.491,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Denmark,DNK,China,CHN
2015,251,156,848610,19.0,0.126,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,France,FRA,China,CHN
2015,276,156,848610,36134.369,151.936,Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers,semiconductor_equipment,Germany,DEU,China,CHN
